CONTINENT,COUNTRY,PRODUCT_TYPE,PRODUCT_ID,SKU,PRODUCT_NAME,PRODUCT_DESCRIPTION,ORIGINAL_PRICE,SELLING_PRICE,BRAND,FULL_SIZE_IMAGES
EUROPE,GERMANY,REGULAR,prod_id_Mercedes_SLR_McLaren,sku_Mercedes_SLR_McLaren,Mercedes SLR McLaren,Mercedes and McLaren teamed up to build this car. Mercedes wanted the car to be quick and Mclaren wanted the car to be luxurious.,900000,900000,Mercedes,https://www.dupontregistry.com/autos/remote.jpg.ashx?404=default&width=644&height=428&urlb64=aHR0cHM6Ly9jZG4uZGVhbGVyYWNjZWxlcmF0ZS5jb20vZnVzaW9uLzEvNjI2LzI1NzY3Lzc5MHgxMDI0LzIwMDYtbWVyY2VkZXMtYmVuei1zbHItbWNsYXJlbi0yZHItY3BlLTUtNWw&hmac=3jWUU3uhxaY
EUROPE,GERMANY,REGULAR,prod_id_Mercedes_Benz_280SE,sku_Mercedes_Benz_280SE,Mercedes Benz 280SE,One of the most unique best looking piece of automotive that exist,300000,300000,Mercedes,https://www.thelastdetail.com/images/sold-overlay.png
AMERICAS,USA,REGULAR,prod_id_Oldsmobile_Super_88,sku_Oldsmobile_Super_88,1959 Oldsmobile Super 88,One of the most unique best looking piece of automotive that exist,75000,75000,Oldsmobile,https://img.hmn.com/fit-in/900x506/filters:upscale()/stories/2017/09/60654253-770-0@2X.jpg
AMERICAS,USA,REGULAR,prod_id_Ford_GT40,sku_Ford_GT40,Ford GT40,One of the most unique best looking piece of automotive that exist,12000000,12000000,Ford,https://robbreport.com/wp-content/uploads/2019/11/gt40mkii01.jpg
AMERICAS,USA,REGULAR,prod_id_Ford_Mustang_Shelby_GT350-R,sku_Ford_Mustang_Shelby_GT350-R,Ford Mustang Shelby GT350-R,One of the most unique best looking piece of automotive that exist,75000,75000,Ford,https://media.ford.com/content/fordmedia/fna/us/en/news/2018/06/11/_somewhere--carroll-is-smiling--new-2019-shelby-gt350-adds-tech-/jcr:content/image.img.881.495.jpg/1557163515253.jpg
EUROPE,UK,REGULAR,prod_id_Jaguar_E-Type,sku_Jaguar_E-Type,Jaguar E-Type,Enzo called this the most beautiful car he has ever seen,355000,355000,Jaguar,https://hips.hearstapps.com/roa.h-cdn.co/assets/17/13/1490966534-etyperestorationshot1.jpg
AMERICAS,USA,REGULAR,prod_id_Lincoln_Continental,sku_Lincoln_Continental,Lincoln Continental,One of the most unique best looking piece of automotive that exist,50000,50000,Lincoln,https://cdn.dealeraccelerate.com/cam/34/1551/58072/1920x1440/1963-lincoln-continental-sedan
EUROPE,GERMANY,REGULAR,prod_id_Mercedez_AMG_GTR_Pro,sku_Mercedez_AMG_GTR_Pro,Mercedez AMG GTR Pro,One of the most unique best looking piece of automotive that exist,200000,200000,Mercedes,https://cdn.motor1.com/images/mgl/XWLA6/s1/2020-mercedes-amg-gt-r-pro.jpg
EUROPE,ITALY,REGULAR,prod_id_Ferrari_F40,sku_Ferrari_F40,Ferrari F40,One of the most unique best looking piece of automotive that exist,900000,900000,Ferrari,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcRVqekUcFX5Bh8UBCDEbTnM-OoeXsRUW5jQcw&usqp=CAU
EUROPE,ITALY,REGULAR,prod_id_Ferrari_F50,sku_Ferrari_F50,Ferrari F50,One of the most unique best looking piece of automotive that exist,2500000,2500000,Ferrari,https://pictures.topspeed.com/IMG/crop_webp/202007/here-s-what-made-the-4_1600x0.webp
EUROPE,ITALY,REGULAR,prod_id_Ferrarri_FXX_k,sku_Ferrarri_FXX_k,Ferrarri FXX k,Ferrari won't let you drive this car if you own one unless you're on a race track.,3000000,3000000,Ferrari,https://www.classicdriver.com/sites/default/files/styles/two_third_slider/public/cars_images/feed_706038/dbab3c804e1d09e31951f2898a25398bd070bbf6.jpg
EUROPE,ITALY,REGULAR,prod_id_Ferrari_Roma,sku_Ferrari_Roma,Ferrari Roma,One of the most unique best looking piece of automotive that exist,255000,255000,Ferrari,https://www.carscoops.com/wp-content/uploads/2020/07/Ferrari-Roma-by-Wheelsandmore-0.jpg
EUROPE,ITALY,REGULAR,prod_id_Ferrari_812_SuperFast,sku_Ferrari_812_SuperFast,Ferrari 812 SuperFast,One of the most unique best looking piece of automotive that exist,335000,335000,Ferrari,https://www.miamilusso.com/wp-content/uploads/2017/03/Ferrari-812-Superfast.jpg
EUROPE,GERMANY,REGULAR,prod_id_Porsche_Carrera_GT,sku_Porsche_Carrera_GT,Porsche Carrera GT,One of the most unique best looking piece of automotive that exist,440000,440000,Porsche,https://2p2bboli8d61fqhjiqzb8p1a-wpengine.netdna-ssl.com/wp-content/uploads/2016/09/Screen-Shot-2016-09-01-at-1.49.07-PM-750x375.png
EUROPE,GERMANY,REGULAR,prod_id_Porsche_911_GT2_RS,sku_Porsche_911_GT2_RS,Porsche 911 GT2 RS,One of the most unique best looking piece of automotive that exist,345300,345300,Porsche,https://images.hgmsites.net/hug/2018-porsche-911-carrera_100613410_h.jpg
EUROPE,GERMANY,REGULAR,prod_id_Porsche_911_GT1,sku_Porsche_911_GT1,Porsche 911 GT1,One of the most unique best looking piece of automotive that exist,3000000,3000000,Porsche,https://i.ytimg.com/vi/Ymg2lMDa7PE/maxresdefault.jpg
EUROPE,UK,REGULAR,prod_id_Jaguar_XJ220s,sku_Jaguar_XJ220s,Jaguar XJ220s,One of the most unique best looking piece of automotive that exist,500000,500000,Jaguar,https://cimg2.ibsrv.net/ibimg/hgm/1600x900-1/100/378/jaguar_100378706.jpg
EUROPE,GERMANY,REGULAR,prod_id_Audi_R8,sku_Audi_R8,Audi R8,Tony Stark daily drive,212000,212000,Audi,https://cdn.motor1.com/images/mgl/JmVR6/s4/2019-audi-r8-onlocation.jpg
EUROPE,GERMANY,REGULAR,prod_id_Mercedes_S63,sku_Mercedes_S63,Mercedes S63,The most comfortable seats in any car and has Swarovski Crystal Lights.,244000,244000,Mercedes,https://pictures.topspeed.com/IMG/jpg/201702/mercedes-amg-s-63-s--15.jpg
ASIA,JAPAN,REGULAR,prod_id_Nissan_Skyline_R34_GTR,sku_Nissan_Skyline_R34_GTR,Nissan Skyline R34 GTR,People call this car Godzilla,150000,150000,Nissan,https://s1.cdn.autoevolution.com/images/gallery/NISSAN-Skyline-GT-R--R34--4040_8.jpg
ASIA,JAPAN,REGULAR,prod_id_Toyota_Supra_1998,sku_Toyota_Supra_1998,Toyota Supra,One of the most unique best looking piece of automotive that exist,80000,80000,Toyota,https://images.crutchfieldonline.com/ImageBank/v20170607165200/core/learn/article/4338/exterior.jpg
EUROPE,UK,REGULAR,prod_id_McLaren_P1,sku_McLaren_P1,McLaren P1,One of the three holy trinity,3400000,3400000,McLaren,https://2p2bboli8d61fqhjiqzb8p1a-wpengine.netdna-ssl.com/wp-content/uploads/2017/08/Mclaren-p1-silver-feature-1140x570.jpg
EUROPE,GERMANY,REGULAR,prod_id_Porsche_918_Spyder,sku_Porsche_918_Spyder,Porsche 918 Spyder,One of the three holy trinity,1000000,1000000,Porsche,https://www.automobilemag.com/uploads/sites/11/2020/06/2015-Porsche-918-Spyder-_0.jpg
EUROPE,SWEDEN,REGULAR,prod_id_Koenigsegg_One:1,sku_Koenigsegg_One_1,Koenigsegg One to 1,Megacar with a power to weight ratio of One:1,2850000,2850000,Koenigsegg,https://images.hgmsites.net/hug/koenigsegg-one1-live-photos-2014-geneva-motor-show_100458543_h.jpg
EUROPE,SWEDEN,REGULAR,prod_id_Koenigsegg_Agera_RS,sku_Koenigsegg_Agera_RS,Koenigsegg Agera RS,Mocked the chiron by beating it's 450km/h top speed effortlessly ,2500000,2500000,Koenigsegg,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i3iaaADAhBpI/v0/1000x-1.jpg
EUROPE,SWEDEN,REGULAR,prod_id_Koenigsegg_Regera,sku_Koenigsegg_Regera,Koenigsegg Regera,Hyrbid with one gear that can go 300km in reverse,1900000,1900000,Koenigsegg,https://www.supercars.net/blog/wp-content/uploads/2016/08/wp2208077.jpg
EUROPE,SWEDEN,REGULAR,prod_id_Koenigsegg_Gemera,sku_Koenigsegg_Gemera,Koenigsegg Gemera,4 seater supercar,1900000,1900000,Koenigsegg,https://www.topgear.com/sites/default/files/styles/16x9_1280w/public/images/news-article/2020/03/1d4d15c79f93e5d90cb1ae34b315fbc1/_dsc4662.jpg?itok=7_loL0h-
EUROPE,SWEDEN,REGULAR,prod_id_Koenigsegg_Jesko_Absolut,sku_Koenigsegg_Jesko_Absolut,Koenigsegg Jesko Absolut,Too fast of a car that's not even in production yet,3000000,3000000,Koenigsegg,https://www.supercars.net/blog/wp-content/uploads/2019/06/koenigsegg-jesko-in-lucerne.jpg
